Table 1
,Object Count,Python,double,float,int64_t,int32_t,int16_t,int8_t
,28,0.12339688,0.000437053571428571,0.000468599959276617,0.000417857139836997,0.000542110705282539,0.000456550013041124,0.00047797497245483100
,56,0.12664405,0.000219791071428571,0.000264508940745145,0.000283555360510945,0.00027194822905585200,0.000236755338846706,0.000236532127019018
,112,0.11798493,0.000117596428571429,0.000129650885355659,0.000114880356704816,0.000128310712170787,0.000117187497380655,0.00011510447075124800
,224,0.11522377,0.0000625558035714286,0.0000594495577388443,0.0000638950878055766,0.0000589285700698383,0.0000615142926108092,0.00005879821037524380
